Material Number,Material Description,Plant,MRP Element Indicator,Item Text,Availability Date,Quantity,Request Date,Requester Email,Reservation No,Deletion Remark,Upload Date,DeleteDate,MSU,Type,Active in System,PDE Checking,Rolling Checking,availability_month,snapshot_extracted,snapshot_ts,snapshot_date,requester_role,te 
80864679.0,HR SHM 530GX9 UKA Anti-breakage,A673,Sams Jan RPM protection,R Material,2026-01-05,8900.0,2025-12-08,xu.x.17@pg.com,3505596885,reschedule,2025-12-08,2026-01-07,16.03157,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80814084.0,HS SHM 5GX500 SILKY SOFT,A673,Feb B2B NI ,R Component,2026-01-19,3086.0,2025-12-16,xu.x.17@pg.com,3510995156,BOM ready 改PO,2025-12-16,2026-01-12,2.913184,FG,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80814084.0,HS SHM 5GX500 SILKY SOFT,1864,Feb B2B NI ,R Material,2026-01-19,2392.0,2025-12-16,xu.x.17@pg.com,3510995157,BOM ready 改PO,2025-12-16,2026-01-12,2.258048,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900169.0,H&S SHM 80g*24 IRM Oil Control Rose OI,A868,H&S Core+ Max BCP material 消耗,R Quotation ,2026-01-08,3047.0,2025-12-17,liu.b.2@pg.com,3512260148,已经完成,2025-12-18,2026-01-09,2.209075,FG,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900169.0,H&S SHM 80g*24 IRM Oil Control Rose OI,A868,H&S Core+ Max BCP material 消耗,R Quotation ,2026-01-19,3047.0,2025-12-17,liu.b.2@pg.com,3512260149,remove,2025-12-18,2026-01-20,2.209075,FG,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900171.0,H&S SHM 360g*12 IRM Oil Control Rose,A673,H&S Core+ Max KOL直播 4.4msu,R Material,2026-01-10,1300.0,2025-12-19,liu.b.2@pg.com,3513407639,change date,2025-12-20,2026-01-09,2.12069,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900171.0,H&S SHM 360g*12 IRM Oil Control Rose,C816,H&S Core+ Max KOL直播 4.4msu,R Material,2026-01-10,1330.0,2025-12-19,liu.b.2@pg.com,3513407640,change date,2025-12-20,2026-01-09,2.169629,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900170.0,H&S SHM 670g*12 IRM Oil Control Rose,A673,H&S Core+ Max KOL HS,R Quotation ,2026-01-10,369.0,2025-12-19,liu.b.2@pg.com,3513407645,已经完成,2025-12-20,2026-01-09,1.1203209,FG,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900170.0,H&S SHM 670g*12 IRM Oil Control Rose,C816,H&S Core+ Max KOL HS,R Quotation ,2026-01-10,277.0,2025-12-19,liu.b.2@pg.com,3513407646,已经完成,2025-12-20,2026-01-09,0.8409997,FG,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900170.0,H&S SHM 670g*12 IRM Oil Control Rose,A672,H&S Core+ Max KOL HS,R Quotation ,2026-01-10,277.0,2025-12-19,liu.b.2@pg.com,3513407647,已经完成,2025-12-20,2026-01-09,0.8409997,FG,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900171.0,H&S SHM 360g*12 IRM Oil Control Rose,A673,H&S Core+ Max KOL HS,R Material,2026-02-10,515.0,2026-01-26,liu.b.2@pg.com,3513407648, ,2026-01-26,,0.8401195,Material,Yes,,14.0,2026-02,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900171.0,H&S SHM 360g*12 IRM Oil Control Rose,C816,H&S Core+ Max KOL HS,R Material,2026-02-10,387.0,2026-01-26,liu.b.2@pg.com,3513407649, ,2026-01-26,,0.6313131,Material,Yes,,14.0,2026-02,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900171.0,H&S SHM 360g*12 IRM Oil Control Rose,A672,H&S Core+ Max KOL HS,R Material,2026-02-10,387.0,2026-01-26,liu.b.2@pg.com,3513407651, ,2026-01-26,,0.6313131,Material,Yes,,14.0,2026-02,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900170.0,H&S SHM 670g*12 IRM Oil Control Rose,A673,H&S Core+ Max KOL HS,R Material,2026-02-10,145.0,2026-01-26,liu.b.2@pg.com,3513407652, ,2026-01-26,,0.4402345,Material,Yes,,14.0,2026-02,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900170.0,H&S SHM 670g*12 IRM Oil Control Rose,C816,H&S Core+ Max KOL HS,R Material,2026-02-10,109.0,2026-01-26,liu.b.2@pg.com,3513407653, ,2026-01-26,,0.3309349,Material,Yes,,14.0,2026-02,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900170.0,H&S SHM 670g*12 IRM Oil Control Rose,A672,H&S Core+ Max KOL HS,R Material,2026-02-10,109.0,2026-01-26,liu.b.2@pg.com,3513407654, ,2026-01-26,,0.3309349,Material,Yes,,14.0,2026-02,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900171.0,H&S SHM 360g*12 IRM Oil Control Rose,A673,H&S Core+ Max KOL HS,R Material,2026-03-01,197.0,2025-12-19,liu.b.2@pg.com,3513407655, ,2025-12-20,,0.3213661,Material,Yes,,,2026-03,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900171.0,H&S SHM 360g*12 IRM Oil Control Rose,C816,H&S Core+ Max KOL HS,R Material,2026-03-01,148.0,2025-12-19,liu.b.2@pg.com,3513407657, ,2025-12-20,,0.2414324,Material,Yes,,,2026-03,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900171.0,H&S SHM 360g*12 IRM Oil Control Rose,A672,H&S Core+ Max KOL HS,R Material,2026-03-01,148.0,2025-12-19,00:00:00,3513407658, ,2025-12-20,,0.2414324,Material,Yes,,,2026-03,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900170.0,H&S SHM 670g*12 IRM Oil Control Rose,A673,H&S Core+ Max KOL HS,R Material,2026-03-01,53.0,2025-12-19,liu.b.2@pg.com,3513407659, ,2025-12-20,,0.1609133,Material,Yes,,,2026-03,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900170.0,H&S SHM 670g*12 IRM Oil Control Rose,C816,H&S Core+ Max KOL HS,R Material,2026-03-01,40.0,2025-12-19,liu.b.2@pg.com,3513407660, ,2025-12-20,,0.121444,Material,Yes,,,2026-03,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
83900170.0,H&S SHM 670g*12 IRM Oil Control Rose,A672,H&S Core+ Max KOL HS,R Material,2026-03-01,40.0,2025-12-19,liu.b.2@pg.com,3513407661, ,2025-12-20,,0.121444,Material,Yes,,,2026-03,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80865245.0,PTN SHM 470gX12 TDC HKTW,0386,HK 470 SHM highside,R Material,2026-01-26,800.0,2025-12-22,chen.g.9@pg.com,3514538997,remove,2025-12-22,2026-01-20,1.70384,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80865244.0,PTN SHM 470gX12 DMR HKTW,0386,HK 470 SHM highside,R Material,2026-01-26,800.0,2025-12-22,chen.g.9@pg.com,3514539018,remove,2025-12-22,2026-01-20,1.70384,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80868686.0,PTN SHM 470gX12 3MM Jasmine HKTW,0386,HK 470 SHM highside,R Material,2026-01-26,800.0,2025-12-22,chen.g.9@pg.com,3514539019,remove,2025-12-22,2026-01-20,1.70384,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
