availability_month,Item Text,total_msu
2026-02,R Quotation ,290.3733624
2026-02,RM Material,51.7
2026-02,FG Rolling ,0.13339
2026-03,R Quotation ,870.3354124
2026-03,R Material,213.4696549
2026-03,FG Rolling ,95.6852004
2026-03,R Component,10.6446963
2026-03,FG Rolling,6.8986322
2026-03,RM Material,0.6365873333333334
2026-04,RM Material,306.1253843333334
2026-04,R Material,38.9838751
2026-05,RM Material,14.858328000000002
2026-05,R Quotation ,2.6368284
2026-06,RM Material,2.0056666666666665
2026-07,RM Material,2.2795666666666667
2026-08,RM Material,1.6441333333333334
